dataset,horizon,display_mse,display_mae,display_marker,trace_status,candidate_count_rounded_exact,same_setting_candidate_count,source_type,run_id,seed,model_type,config_name,model_tag,test_mse,test_mae,rounded_diff_mse,rounded_diff_mae,source_file,nearest_run_id,nearest_seed,nearest_model_type,nearest_test_mse,nearest_test_mae,nearest_source_type,nearest_source_file
Weather,96,0.156,0.194,,summary_log_exact,1,194,summary_log,parallel_run_20260408_093213,2025,frwkv_crossbranchphasegate_adaptive,,phasegate_transfer_sweep_weather_pl96_pp12_seed2025,0.156426,0.193769,0.000426,-0.000231,experiment_runner/parallel_run_20260408_093213/logs/frwkv_phasegate_transfer_weather_pl96_pp12_seed2025.log,,,,,,,
Weather,192,0.205,0.238,,terminal_log_exact,1,194,terminal_log,parallel_run_20260411_181159,2028,frwkv_crossbranchphasegate_adaptive,,kbs_adaptive_ms_weather_pl192_seed2028,0.205043,0.238439,0.000043,0.000439,experiment_runner/parallel_run_20260411_181159/logs/kbs_adaptive_ms_weather_pl192_seed2028.log,,,,,,,
Weather,336,0.264,0.282,,terminal_log_exact,1,191,terminal_log,parallel_run_20260411_181159,2024,frwkv_crossbranchphasegate_adaptive,,kbs_adaptive_ms_weather_pl336_seed2024,0.263671,0.282206,-0.000329,0.000206,experiment_runner/parallel_run_20260411_181159/logs/kbs_adaptive_ms_weather_pl336_seed2024.log,,,,,,,
Weather,720,0.342,0.335,S,status_json_exact,15,284,status_json,parallel_run_20260418_161524,2033,frwkv_crossbranchphasegate_adaptive,,kbs_encattn_weather_pl720_linattn_seed2033,0.341614,0.335317,-0.000386,0.000317,experiment_runner/parallel_run_20260418_161524/status/kbs_encattn_weather_pl720_linattn_seed2033.json,,,,,,,
ILI,24,1.432,0.721,,summary_log_exact,1,207,summary_log,parallel_run_20260409_170109,2032,frwkv_crossbranchphasegate_adaptive,,phasegate_hard_stage2_ili_pl24_pp6_r2_a0.02_b-3.0_seed2032,1.431946,0.721287,-0.000054,0.000287,experiment_runner/parallel_run_20260409_170109/logs/phasegate_hard_stage2_ili_pl24_pp6_r2_a0.02_b-3.0_seed2032.log,,,,,,,
ILI,36,1.392,0.714,,status_json_exact,4,738,status_json,parallel_run_20260416_224740,2025,frwkv_crossbranchphasegate_adaptive,,kbs_ablation_frwkv_crossbranchphasegate_adaptive_ili_pl36_seed2025_es16,1.391716,0.714074,-0.000284,0.000074,experiment_runner/parallel_run_20260416_224740/status/kbs_ablation_frwkv_crossbranchphasegate_adaptive_ili_pl36_seed2025_es16.json,,,,,,,
ILI,48,1.467,0.73,,summary_log_exact,1,211,summary_log,parallel_run_20260409_133922,2025,frwkv_crossbranchphasegate_adaptive,,phasegate_hard_ili_pl48_pp12_r4_a0.05_b-2.5_seed2025,1.467154,0.729867,0.000154,-0.000133,experiment_runner/parallel_run_20260409_133922/logs/phasegate_hard_ili_pl48_pp12_r4_a0.05_b-2.5_seed2025.log,,,,,,,
ILI,60,1.628,0.773,,summary_log_exact,1,211,summary_log,parallel_run_20260409_170109,2038,frwkv_crossbranchphasegate_adaptive,,phasegate_hard_stage2_ili_pl60_pp12_r4_a0.05_b-2.5_seed2038,1.628406,0.772938,0.000406,-0.000062,experiment_runner/parallel_run_20260409_170109/logs/phasegate_hard_stage2_ili_pl60_pp12_r4_a0.05_b-2.5_seed2038.log,,,,,,,
Exchange,96,0.081,0.198,,status_json_exact,3,217,status_json,parallel_run_20260503_131828,2026,frwkv_crossbranchgate,,kbs_fullabl16_crossbranchgate_exchange_pl96_seed2026,0.080592,0.197849,-0.000408,-0.000151,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_exchange_pl96_seed2026.json,,,,,,,
Exchange,192,0.172,0.296,,summary_log_exact,1,457,summary_log,parallel_run_20260411_220655,2027,frwkv_crossbranchphasegate_adaptive,,kbs_ablation_frwkv_crossbranchphasegate_adaptive_exchange_pl192_seed2027,0.172078,0.295598,0.000078,-0.000402,experiment_runner/parallel_run_20260411_220655/logs/kbs_ablation_frwkv_crossbranchphasegate_adaptive_exchange_pl192_seed2027.log,,,,,,,
Exchange,336,0.315,0.405,,status_json_exact,4,1676,status_json,parallel_run_20260418_232012,2033,frwkv_crossbranchphasegate_adaptive,,kbs_release_anchor_exchange336_a_l1l2_r4_a02_b30_seed2033,0.315031,0.404994,0.000031,-0.000006,experiment_runner/parallel_run_20260418_232012/status/kbs_release_anchor_exchange336_a_l1l2_r4_a02_b30_seed2033.json,,,,,,,
Exchange,720,0.84,0.69,dagger,summary_log_exact,1,246,summary_log,parallel_run_20260409_170109,2033,frwkv_crossbranchphasegate_adaptive,,phasegate_hard_stage2_exchange_rate_pl720_pp24_r1_a0.02_b-3.0_seed2033,0.840333,0.689541,0.000333,-0.000459,experiment_runner/parallel_run_20260409_170109/logs/phasegate_hard_stage2_exchange_rate_pl720_pp24_r1_a0.02_b-3.0_seed2033.log,,,,,,,
