dataset,horizon,model,seed,mse,mae,run_id,name,model_type
ILI,48,CrossBranchGate,2036,1.782968,0.799319,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl48_seed2036,frwkv_crossbranchgate
ILI,48,CrossBranchGate,2037,1.824929,0.804059,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl48_seed2037,frwkv_crossbranchgate
ILI,48,CrossBranchGate,2038,1.853932,0.818583,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl48_seed2038,frwkv_crossbranchgate
ILI,48,CrossBranchGate,2039,1.7709,0.788327,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl48_seed2039,frwkv_crossbranchgate
ILI,48,CrossBranchPhaseGate,2024,1.85403,0.822181,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2024,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2025,1.877716,0.813928,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2025,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2026,1.826806,0.821568,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2026,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2027,1.817843,0.820562,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2027,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2028,1.783269,0.802575,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2028,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2029,1.916996,0.833113,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2029,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2030,1.752231,0.794604,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2030,frwkv_crossbranchphasegate
