dataset,horizon,model,seed,mse,mae,run_id,name,model_type
ILI,60,FullContextDelta,2032,1.655332,0.789972,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2032,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2033,1.644525,0.789335,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2033,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2034,1.700579,0.807043,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2034,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2035,1.662781,0.793007,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2035,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2036,1.641012,0.7821,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2036,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2037,1.671556,0.795145,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2037,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2038,1.664713,0.791586,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2038,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2039,1.695879,0.808601,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2039,frwkv_crossbranchphasegate_fullcontextdelta
Weather,96,Adaptive PhaseGate,2024,0.16044,0.196996,parallel_run_20260509_134027,kbs_adaptive16_weather_pl96_seed2024,frwkv_crossbranchperiodicpositiongate_adaptive
Weather,96,Adaptive PhaseGate,2025,0.159167,0.195553,parallel_run_20260509_134027,kbs_adaptive16_weather_pl96_seed2025,frwkv_crossbranchperiodicpositiongate_adaptive
Weather,96,Adaptive PhaseGate,2026,0.157001,0.192449,parallel_run_20260509_134027,kbs_adaptive16_weather_pl96_seed2026,frwkv_crossbranchperiodicpositiongate_adaptive
