dataset,horizon,model,n,mse_mean,mse_std,mae_mean,mae_std,source
ETTm1,192,CrossBranchGate,16,0.360544875,0.001880121,0.370961000,0.001561544,parallel_run_20260503_131828
ETTm1,192,FRWKV,16,0.361021062,0.003192193,0.370932000,0.002207028,parallel_run_20260503_131828
ETTm1,336,Adaptive PhaseGate,16,0.392991313,0.003659166,0.394098938,0.002387582,parallel_run_20260509_134027
ETTm1,336,FullContextDelta,16,0.391355687,0.002510335,0.392504750,0.002155218,parallel_run_20260508_212616
ETTm1,336,CrossBranchPhaseGate,16,0.391495875,0.002420484,0.392741875,0.001839604,parallel_run_20260503_131828
ETTm1,336,CrossBranchGate,16,0.392243187,0.002425264,0.392820000,0.001778687,parallel_run_20260503_131828
ETTm1,336,FRWKV,16,0.391621125,0.001693691,0.392259562,0.001249564,parallel_run_20260503_131828
ETTm1,720,Adaptive PhaseGate,16,0.458674187,0.003434188,0.431821625,0.002757420,parallel_run_20260509_134027
ETTm1,720,FullContextDelta,16,0.457743125,0.003050605,0.430890375,0.002469285,parallel_run_20260508_212616
ETTm1,720,CrossBranchPhaseGate,16,0.457493375,0.002650552,0.430478125,0.001976281,parallel_run_20260503_131828
ETTm1,720,CrossBranchGate,16,0.458851562,0.003960447,0.431641625,0.002850858,parallel_run_20260503_131828
ETTm1,720,FRWKV,16,0.457817750,0.002375159,0.430444687,0.002324035,parallel_run_20260503_131828
ETTm2,96,Adaptive PhaseGate,16,0.172897937,0.001707623,0.250468250,0.000973089,parallel_run_20260509_134027
ETTm2,96,FullContextDelta,16,0.172626500,0.001617408,0.250272563,0.001079945,parallel_run_20260508_212616
ETTm2,96,CrossBranchPhaseGate,16,0.172640500,0.001914776,0.250269062,0.001133447,parallel_run_20260503_131828
ETTm2,96,CrossBranchGate,16,0.173089313,0.001800395,0.250396187,0.001234452,parallel_run_20260503_131828
ETTm2,96,FRWKV,16,0.172291875,0.001309414,0.249901500,0.000875298,parallel_run_20260503_131828
ETTm2,192,Adaptive PhaseGate,16,0.237185375,0.001544305,0.293095312,0.001034783,parallel_run_20260509_134027
ETTm2,192,FullContextDelta,16,0.238332500,0.001753533,0.293912125,0.001276879,parallel_run_20260508_212616
ETTm2,192,CrossBranchPhaseGate,16,0.237304437,0.002288242,0.293337063,0.001682875,parallel_run_20260503_131828
ETTm2,192,CrossBranchGate,16,0.238538562,0.002664753,0.294037000,0.001741618,parallel_run_20260503_131828
ETTm2,192,FRWKV,16,0.236944688,0.001474183,0.293115750,0.001092375,parallel_run_20260503_131828
ETTm2,336,Adaptive PhaseGate,16,0.296284938,0.002434103,0.332046562,0.001663407,parallel_run_20260509_134027
ETTm2,336,FullContextDelta,16,0.297041187,0.002278671,0.332683813,0.001478582,parallel_run_20260508_212616
ETTm2,336,CrossBranchPhaseGate,16,0.295693188,0.002102500,0.331655437,0.001399151,parallel_run_20260503_131828
ETTm2,336,CrossBranchGate,16,0.295565688,0.002424917,0.331382000,0.001623571,parallel_run_20260503_131828
ETTm2,336,FRWKV,16,0.295607562,0.002855273,0.331336375,0.001889594,parallel_run_20260503_131828
ETTm2,720,Adaptive PhaseGate,16,0.394118313,0.002872397,0.390073750,0.001717695,parallel_run_20260509_134027
ETTm2,720,FullContextDelta,16,0.393742563,0.003237657,0.389765750,0.001809023,parallel_run_20260508_212616
ETTm2,720,CrossBranchPhaseGate,16,0.393266125,0.003000058,0.389633937,0.001595242,parallel_run_20260503_131828
