dataset,horizon,model,display_label,seed,mse,mae,run_id,source_file,source_kind,model_type,model_tag,config_name,selection_rule,candidate_count
ETTm1,96,FRWKV,FRWKV,2026,0.310890,0.345155,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_ettm1_pl96_seed2026.json,status_json,frwkv,kbs_fullabl16_frwkv_ettm1_pl96_seed2026,,best_single_run_by_mse_then_mae,32
ETTm1,96,CrossBranchGate,CrossBranchGate,2034,0.311303,0.344526,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_ettm1_pl96_seed2034.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_ettm1_pl96_seed2034,,best_single_run_by_mse_then_mae,32
ETTm1,96,CrossBranchPhaseGate,CrossBranchPhaseGate,2029,0.310231,0.341150,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_ettm1_pl96_seed2029.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_ettm1_pl96_seed2029,,best_single_run_by_mse_then_mae,32
ETTm1,192,Ours(selected),Ours(selected),2026,0.357307,0.369640,parallel_run_20260416_213910,experiment_runner/parallel_run_20260416_213910/status/kbs_ettm1_pl192_confirm_linear_base_seed2026.json,selected_system_audit,frwkv_crossbranchphasegate_adaptive_linearproj,kbs_ettm1_pl192_confirm_linear_base_seed2026,,selected_system_audit_exact,1
ETTm1,192,FRWKV,FRWKV,2029,0.356815,0.368051,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_ettm1_pl192_seed2029.json,status_json,frwkv,kbs_fullabl16_frwkv_ettm1_pl192_seed2029,,best_single_run_by_mse_then_mae,32
ETTm1,192,CrossBranchGate,CrossBranchGate,2024,0.357518,0.368348,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_ettm1_pl192_seed2024.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_ettm1_pl192_seed2024,,best_single_run_by_mse_then_mae,32
ETTm1,192,CrossBranchPhaseGate,CrossBranchPhaseGate,2026,0.356732,0.369055,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_ettm1_pl192_seed2026.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_ettm1_pl192_seed2026,,best_single_run_by_mse_then_mae,32
ETTm1,336,Ours(selected),Ours(selected),2025,0.389460,0.390789,parallel_run_20260415_233903,experiment_runner/parallel_run_20260415_233903/status/ettm1_pl336_pp48_r4_a0.05_b-3.0_es4_el3.json,selected_system_audit,frwkv_crossbranchphasegate_adaptive,ettm1_pl336_pp48_r4_a0.05_b-3.0_es4_el3,,selected_system_audit_exact,1
ETTm1,336,FRWKV,FRWKV,2037,0.389153,0.392034,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_ettm1_pl336_seed2037.json,status_json,frwkv,kbs_fullabl16_frwkv_ettm1_pl336_seed2037,,best_single_run_by_mse_then_mae,32
ETTm1,336,CrossBranchGate,CrossBranchGate,2037,0.388354,0.390047,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_ettm1_pl336_seed2037.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_ettm1_pl336_seed2037,,best_single_run_by_mse_then_mae,32
